,rank,lift,name,exchange,code,rate,market_cap
206,207,+ 0,CGI Group, - CGI Group Inc (TSE),CAD,0.7706,
207,208,+ 0,STMicroelectronics,,,1.0,
208,209,+ 0,ATOS, - Atossa Genetics Inc (NASDAQ),USD,1.0,
209,210,+ 0,Taiwan Mobile,,,1.0,
210,211,+ 0,Maxis,,,1.0,
211,212,+ 0,Axiata Group,,,1.0,
212,213,+ 0,Advanced Semiconductor,,,1.0,
213,214,+ 0,ZTE,,,1.0,
214,215,+ 0,Ooredoo Telecom,,,1.0,
215,216,+ 0,Lenovo Group,,,1.0,
216,217,+ 0,Emirates Integrated Telecom,,,1.0,
217,218,+ 0,Asustek Computer,,,1.0,
218,219,+ 0,China Railway Signal & Communication,,,1.0,
219,220,+ 0,China Great Wall Computer,,,1.0,
220,221,+ 0,Sistema,,,1.0,
221,222,+ 0,Compal Electronics,,,1.0,
222,223,+ 0,Synnex Technology Intl,,,1.0,
